"","Name","URL","npcurl","locale","highdeg","control","Admission Rate","Size of School","Degree Type","ugds_men","ugds_women","preddeg","Enrollment","satvrmid","satmtmid","longitude","latitude","Average Debt","satwrmid","State","c150_l4","City","Tuition","Region","Sourrounding area"
"2748","Bryan University","www.bryanu.edu","www.bryanu.edu",12,4,3,0.9079,"Small","Associate Degree",0.3193,0.6807,2,20,NA,NA,-93.247901,37.13528,24166,NA,"AR",0.4516,"Rogers",24125,"Other","Urban"
"2749","Centura College-Chesapeake","www.centuracollege.edu","www.centura.edu/Chesapeake/Shared%20Documents/npcalc.htm",21,2,3,NA,"Small","Associate Degree",0.2664,0.7336,2,160,NA,NA,-76.227712,36.765954,25250,NA,"VA",0.8286,"Chesapeake",30797,"Southeast","Suburban"
"2750","York County Community College","www.yccc.edu","resources.yccc.edu/NetPriceCalc/npcalc.htm",42,2,1,NA,"Small","Associate Degree",0.3443,0.6557,2,1391,NA,NA,-70.590835,43.306823,7850,NA,"ME",0.1898,"Wells",13158,"Northeast","Rural"
"2751","Automeca Technical College-Bayamon","www.automeca.com","www.automeca.com",21,1,3,NA,"Small","Certificate Degree",0.9821,0.0179,1,444,NA,NA,-66.184522,18.406869,1750,NA,"PR",0.7538,"Bayamon",11878,"Other","Suburban"
"2752","Lincoln Trail College","www.iecc.edu/ltc","www.iecc.edu/netpricecalculator",41,2,1,NA,"Small","Associate Degree",0.4339,0.5661,2,546,NA,NA,-87.688839,39.01933,4500,NA,"IL",0.4386,"Robinson",5978,"Great Lakes","Rural"
"2753","Columbia Central University-Yauco","www.columbiacentral.edu","www.columbiacentral.edu/web2015/net-price-calculator/net-price-calculator-yauco/",23,3,3,NA,"Small","Associate Degree",0.2259,0.7741,2,371,NA,NA,-66.849264,18.036257,NA,NA,"PR",NA,"Yauco",9927,"Other","Suburban"
"2754","Watkins College of Art Design & Film","www.watkins.edu","www.watkins.edu/admissions/financial-aid/",11,3,2,0.9444,"Small","Bachelor Degree",0.4765,0.5235,3,271,525,463,-86.805888,36.194659,31000,485,"TN",NA,"Nashville",34244,"Southeast","Urban"
"2755","Arkansas State University-Mountain Home","www.asumh.edu","https://www.asumh.edu/financial-aid/net-price-calculator.html",33,2,1,NA,"Small","Certificate Degree",0.3676,0.6324,1,1267,NA,NA,-92.383355,36.335336,17467,NA,"AR",0.5652,"Mountain Home",13853,"Southeast","Rural"
"2756","Virginia College-Birmingham","www.vc.edu","https://enroll.vc.edu/npc",12,4,3,NA,"Mid-sized","Associate Degree",0.1612,0.8388,2,2062,NA,NA,-86.817687,33.46999,17596.5,NA,"AL",NA,"Birmingham",23703,"Southeast","Urban"
"2757","Oregon Coast Community College","www.oregoncoastcc.org","www.pcc.edu/enroll/paying-for-college/financial-aid/net-price-calculator/",41,2,1,NA,"Small","Certificate Degree",0.3735,0.6265,1,369,NA,NA,-124.042346,44.602882,9096,NA,"OR",0.122,"Newport",13068,"West","Rural"
"2758","Living Arts College","living-arts-college.edu","www.living-arts-college.edu/sci/netpricepage.html",11,3,3,NA,"Small","Certificate Degree",0.4308,0.5692,1,362,NA,NA,-78.555726,35.942892,12710,NA,"NC",NA,"Raleigh",29628,"Southeast","Urban"
"2759","California State University-Sacramento","www.csus.edu","www.csumentor.edu/finaid/pais/",11,4,1,0.671,"Large","Bachelor Degree",0.4317,0.5683,3,27323,465,480,-121.42194,38.55745,15925,NA,"CA",NA,"Sacramento",17927,"West","Urban"
"2760","California State University-Long Beach","www.csulb.edu","www.csumentor.edu/finaid/pais/",11,4,1,0.3038,"Large","Bachelor Degree",0.4269,0.5731,3,32025,500,525,-118.1123,33.782752,14502,NA,"CA",NA,"Long Beach",17718,"West","Urban"
"2761","Arkansas State University-Main Campus","www.astate.edu/edu","www.astate.edu/a/finaid/tuition-fees/net-price-calculator/index.dot",13,4,1,0.7056,"Large","Bachelor Degree",0.4278,0.5722,3,8909,470,508,-90.680478,35.842779,17467,440,"AR",NA,"Jonesboro",20349,"Southeast","Urban"
"2762","California State University-Los Angeles","www.calstatela.edu","www.csumentor.edu/finaid/pais/",11,4,1,0.6942,"Large","Bachelor Degree",0.408,0.592,3,23424,430,450,-118.168965,34.066927,12500,NA,"CA",NA,"Los Angeles",13734,"West","Urban"
"2763","University of Arkansas at Little Rock","ualr.edu/www/","ualr.edu/finaid/npc/npcalc.htm",12,4,1,0.9946,"Large","Bachelor Degree",0.4098,0.5902,3,7888,458,523,-92.341835,34.726644,19000,458,"AR",NA,"Little Rock",20714,"Southeast","Urban"
